"BirdieorBetterConversionPercentage_RANKTHISWEEK_2009","BirdieorBetterConversionPercentage_RANKLASTWEEK_2009","BirdieorBetterConversionPercentage_PLAYERNAME_2009","BirdieorBetterConversionPercentage_ROUNDS_2009","BirdieorBetterConversionPercentage_Pct_2009","BirdieorBetterConversionPercentage_BIRDIES_2009","BirdieorBetterConversionPercentage_GREENSHIT_2009","stat_name","year"
147,147,"Brian Vranesh",51,27.09,146,539,"BirdieorBetterConversionPercentage",2009
148,148,"Will Ma Kenzie",69,27.05,228,843,"BirdieorBetterConversionPercentage",2009
149,149,"Cameron Beckman",87,27.02,264,977,"BirdieorBetterConversionPercentage",2009
150,150,"Kevin Stadler",65,26.98,184,682,"BirdieorBetterConversionPercentage",2009
151,151,"Heath Slocum",95,26.95,297,1102,"BirdieorBetterConversionPercentage",2009
152,152,"Todd Hamilton",83,26.83,249,928,"BirdieorBetterConversionPercentage",2009
153,153,"Aron Price",89,26.75,256,957,"BirdieorBetterConversionPercentage",2009
154,154,"Steve Elkington",70,26.66,225,844,"BirdieorBetterConversionPercentage",2009
155,155,"Ken Duke",87,26.63,262,984,"BirdieorBetterConversionPercentage",2009
156,156,"Scott Sterling",51,26.55,141,531,"BirdieorBetterConversionPercentage",2009
157,157,"Jeff Maggert",79,26.49,257,970,"BirdieorBetterConversionPercentage",2009
158,158,"Steve Flesch",77,26.46,244,922,"BirdieorBetterConversionPercentage",2009
159,159,"Bart Bryant",58,26.44,161,609,"BirdieorBetterConversionPercentage",2009
160,160,"Ben Curtis",63,26.4,189,716,"BirdieorBetterConversionPercentage",2009
161,161,"Patrick Sheehan",51,26.38,139,527,"BirdieorBetterConversionPercentage",2009
162,162,"Chez Reavie",81,26.34,240,911,"BirdieorBetterConversionPercentage",2009
163,163,"Rocco Mediate",79,26.24,232,884,"BirdieorBetterConversionPercentage",2009
164,164,"Brad Adamonis",70,26.14,201,769,"BirdieorBetterConversionPercentage",2009
165,165,"Rick Price",54,26.05,149,572,"BirdieorBetterConversionPercentage",2009
166,166,"KJ Choi",65,26.02,198,761,"BirdieorBetterConversionPercentage",2009
167,167,"Brian Bateman",55,25.94,166,640,"BirdieorBetterConversionPercentage",2009
168,168,"Spencer Levin",75,25.93,223,860,"BirdieorBetterConversionPercentage",2009
169,169,"Peter Lonard",86,25.89,247,954,"BirdieorBetterConversionPercentage",2009
