"PercentageofAvailablePurseWon_RANKTHISWEEK_2007","PercentageofAvailablePurseWon_RANKLASTWEEK_2007","PercentageofAvailablePurseWon_PLAYERNAME_2007","PercentageofAvailablePurseWon_EVENTS_2007","PercentageofAvailablePurseWon_Pct_2007","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2007","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2007","stat_name","year"
213,213,"Charl Schwartzel",6,0.3,134303,45177452,"PercentageofAvailablePurseWon",2007
213,213,"Duffy Waldorf",23,0.3,359017,118477452,"PercentageofAvailablePurseWon",2007
218,218,"Gregory Bourdy",1,0.29,23393,8177452,"PercentageofAvailablePurseWon",2007
218,218,"Glen Day",27,0.29,397488,135300000,"PercentageofAvailablePurseWon",2007
218,218,"Tripp Isenhour",32,0.29,471979,165400000,"PercentageofAvailablePurseWon",2007
221,221,"John Bickerton",2,0.28,45000,16177452,"PercentageofAvailablePurseWon",2007
221,221,"Jose Manuel Lara",2,0.28,32250,11500000,"PercentageofAvailablePurseWon",2007
221,221,"Graeme McDowell",3,0.28,52768,18677452,"PercentageofAvailablePurseWon",2007
221,221,"Greg Owen",29,0.28,426601,152200000,"PercentageofAvailablePurseWon",2007
221,221,"Jeev Milkha Singh",12,0.28,227679,81877452,"PercentageofAvailablePurseWon",2007
226,226,"Craig Bowden",25,0.27,333968,123800000,"PercentageofAvailablePurseWon",2007
226,226,"Michael Putnam",29,0.27,422357,155977452,"PercentageofAvailablePurseWon",2007
226,226,"Craig Stadler",1,0.27,18560,7e+06,"PercentageofAvailablePurseWon",2007
226,226,"Bob Tway",32,0.27,456764,166800000,"PercentageofAvailablePurseWon",2007
226,226,"YE Yang",9,0.27,170980,63077452,"PercentageofAvailablePurseWon",2007
231,231,"Rich Barcelo",26,0.26,334243,130500000,"PercentageofAvailablePurseWon",2007
231,231,"Jon Bevan",1,0.26,21080,8177452,"PercentageofAvailablePurseWon",2007
231,231,"Yusaku Miyazato",1,0.26,13537,5200000,"PercentageofAvailablePurseWon",2007
