"Last5EventsShortGame_RANKTHISWEEK_2006","Last5EventsShortGame_RANKLASTWEEK_2006","Last5EventsShortGame_PLAYERNAME_2006","Last5EventsShortGame_EVENTS_2006","Last5EventsShortGame_RATING_2006","stat_name","year"
62,61,"Thomas Levet",2,6.9,"Last5EventsShortGame",2006
62,61,"Frank Lickliter II",5,6.9,"Last5EventsShortGame",2006
62,61,"Loren Roberts",3,6.9,"Last5EventsShortGame",2006
62,61,"Nick Watney",4,6.9,"Last5EventsShortGame",2006
62,61,"Azuma Yano",1,6.9,"Last5EventsShortGame",2006
75,74,"Michael Allen",4,6.8,"Last5EventsShortGame",2006
75,74,"Arjun Atwal",3,6.8,"Last5EventsShortGame",2006
75,74,"Paul Casey",2,6.8,"Last5EventsShortGame",2006
75,74,"Brad Faxon",1,6.8,"Last5EventsShortGame",2006
75,74,"Fred Funk",3,6.8,"Last5EventsShortGame",2006
75,74,"Troy Matteson",3,6.8,"Last5EventsShortGame",2006
75,74,"Graeme McDowell",2,6.8,"Last5EventsShortGame",2006
75,74,"Jyoti Randhawa",1,6.8,"Last5EventsShortGame",2006
75,74,"John Senden",2,6.8,"Last5EventsShortGame",2006
75,74,"Hal Sutton",1,6.8,"Last5EventsShortGame",2006
75,74,"Roland Thatcher",1,6.8,"Last5EventsShortGame",2006
75,74,"Jimmy Walker",2,6.8,"Last5EventsShortGame",2006
87,87,"Paul Azinger",3,6.7,"Last5EventsShortGame",2006
87,87,"Ben Curtis",3,6.7,"Last5EventsShortGame",2006
87,87,"Johan Edfors",2,6.7,"Last5EventsShortGame",2006
87,87,"John Engler Jr",2,6.7,"Last5EventsShortGame",2006
87,87,"Paul Goydos",3,6.7,"Last5EventsShortGame",2006
87,87,"Padraig Harrington",2,6.7,"Last5EventsShortGame",2006
87,87,"Matt Kuchar",2,6.7,"Last5EventsShortGame",2006
87,87,"Justin Rose",4,6.7,"Last5EventsShortGame",2006
87,87,"Kirk Triplett",3,6.7,"Last5EventsShortGame",2006
96,96,"Billy Andrade",2,6.6,"Last5EventsShortGame",2006
96,96,"Jonathan Byrd",3,6.6,"Last5EventsShortGame",2006
96,74,"Chris DiMarco",4,6.6,"Last5EventsShortGame",2006
96,96,"Ken Duke",2,6.6,"Last5EventsShortGame",2006
96,96,"Tim Herron",1,6.6,"Last5EventsShortGame",2006
96,96,"Anthony Kim",2,6.6,"Last5EventsShortGame",2006
96,96,"Brett Wetterich",5,6.6,"Last5EventsShortGame",2006
103,102,"Lucas Glover",4,6.5,"Last5EventsShortGame",2006
103,102,"JJ Henry",3,6.5,"Last5EventsShortGame",2006
103,102,"Steve Jones",2,6.5,"Last5EventsShortGame",2006
103,102,"Shigeki Maruyama",4,6.5,"Last5EventsShortGame",2006
103,102,"Ryan Palmer",3,6.5,"Last5EventsShortGame",2006
103,102,"Charl Schwartzel",2,6.5,"Last5EventsShortGame",2006
103,102,"Jeff Sluman",1,6.5,"Last5EventsShortGame",2006
103,102,"Mike Sposa",4,6.5,"Last5EventsShortGame",2006
103,102,"Lee Westwood",1,6.5,"Last5EventsShortGame",2006
112,111,"Robert Allenby",3,6.4,"Last5EventsShortGame",2006
112,111,"Ricky Barnes",1,6.4,"Last5EventsShortGame",2006
112,111,"Notah Begay III",1,6.4,"Last5EventsShortGame",2006
112,111,"Shane Bertsch",1,6.4,"Last5EventsShortGame",2006
112,111,"Jeff Brehaut",2,6.4,"Last5EventsShortGame",2006
112,111,"Gavin Coles",3,6.4,"Last5EventsShortGame",2006
112,111,"Jason Gore",3,6.4,"Last5EventsShortGame",2006
112,111,"Ryan Hietala",2,6.4,"Last5EventsShortGame",2006
112,111,"Freddie Jacobson",2,6.4,"Last5EventsShortGame",2006
112,111,"Richard Johnson",4,6.4,"Last5EventsShortGame",2006
112,111,"Kevin Na",3,6.4,"Last5EventsShortGame",2006
