"LeftTendency_RANKTHISWEEK_2011","LeftTendency_RANKLASTWEEK_2011","LeftTendency_PLAYERNAME_2011","LeftTendency_EVENTS_2011","LeftTendency_Pct_2011","LeftTendency_NUMBEROFTIMES_2011","LeftTendency_ATTEMPTS_2011","LeftTendency_AVGRTPSCORE_2011","stat_name","year"
97,97,"Jonathan Byrd",26,48.4,177,366,0.68,"LeftTendency",2011
97,97,"John Senden",26,48.4,169,349,1.48,"LeftTendency",2011
99,99,"Stephen Ames",22,48.5,129,266,1.86,"LeftTendency",2011
100,100,"Geoff Ogilvy",21,48.7,132,271,1.36,"LeftTendency",2011
100,100,"Bubba Watson",22,48.7,149,306,0.81,"LeftTendency",2011
102,102,"Colt Knost",27,48.8,146,299,3.01,"LeftTendency",2011
102,102,"William McGirt",32,48.8,230,471,0.91,"LeftTendency",2011
102,102,"DA Points",26,48.8,165,338,2.3,"LeftTendency",2011
105,105,"DJ Brigman",23,48.9,155,317,2.32,"LeftTendency",2011
105,105,"Zach Johnson",23,48.9,114,233,1.58,"LeftTendency",2011
105,105,"Ian Poulter",16,48.9,87,178,2.07,"LeftTendency",2011
108,108,"Brendon de Jonge",30,49.1,211,430,1,"LeftTendency",2011
109,109,"Michael Putnam",21,49.2,149,303,1.88,"LeftTendency",2011
109,109,"Alexandre Rocha",22,49.2,122,248,2.54,"LeftTendency",2011
111,111,"Steve Marino",23,49.3,151,306,0.46,"LeftTendency",2011
111,111,"Chez Reavie",27,49.3,176,357,1.48,"LeftTendency",2011
111,111,"Nate Smith",24,49.3,136,276,2.28,"LeftTendency",2011
114,114,"Ryuji Imada",29,49.4,197,399,1.27,"LeftTendency",2011
115,115,"Rich Beem",21,49.5,105,212,3.14,"LeftTendency",2011
115,115,"Ernie Els",21,49.5,150,303,2,"LeftTendency",2011
115,115,"Tommy Gainey",34,49.5,237,479,1.81,"LeftTendency",2011
118,118,"Jim Herman",22,49.7,157,316,1.53,"LeftTendency",2011
119,119,"Robert Allenby",25,49.8,158,317,1.33,"LeftTendency",2011
