"GIRPercentage100125yards_RANKTHISWEEK_2014","GIRPercentage100125yards_RANKLASTWEEK_2014","GIRPercentage100125yards_PLAYERNAME_2014","GIRPercentage100125yards_ROUNDS_2014","GIRPercentage100125yards_Pct_2014","GIRPercentage100125yards_GREENSHIT_2014","GIRPercentage100125yards_TOTALHOLES_2014","GIRPercentage100125yards_RELATIVETOPAR_2014","stat_name","year"
154,154,"Sean OHair",77,70.81,114,161,-0.26,"GIRPercentage100125yards",2014
155,155,"Troy Merritt",62,70.69,82,116,-0.26,"GIRPercentage100125yards",2014
156,156,"Andres Romero",81,70.63,89,126,-0.22,"GIRPercentage100125yards",2014
157,157,"Ryan Palmer",85,70.39,107,152,-0.28,"GIRPercentage100125yards",2014
158,158,"Rory McIlroy",66,70.19,73,104,-0.34,"GIRPercentage100125yards",2014
159,159,"Will Wilcox",51,70.15,47,67,-0.17,"GIRPercentage100125yards",2014
160,160,"Trevor Immelman",84,69.84,88,126,-0.17,"GIRPercentage100125yards",2014
161,161,"Josh Teater",90,69.8,104,149,-0.28,"GIRPercentage100125yards",2014
162,162,"Matt Jones",83,69.37,77,111,-0.27,"GIRPercentage100125yards",2014
163,163,"Gonzalo Fdez Castano",83,69.23,72,104,-0.26,"GIRPercentage100125yards",2014
164,164,"Ernie Els",85,69.16,74,107,-0.2,"GIRPercentage100125yards",2014
165,165,"Jonas Blixt",64,69.14,56,81,-0.38,"GIRPercentage100125yards",2014
166,166,"Patrick Reed",92,68.97,100,145,-0.29,"GIRPercentage100125yards",2014
167,167,"Danny Lee",84,68.42,65,95,-0.28,"GIRPercentage100125yards",2014
168,168,"Briny Baird",50,68.35,54,79,-0.07,"GIRPercentage100125yards",2014
169,169,"Steven Bowditch",93,68.29,112,164,-0.26,"GIRPercentage100125yards",2014
170,170,"Lee Westwood",57,67.65,46,68,-0.24,"GIRPercentage100125yards",2014
171,171,"Wes Roach",67,67.46,85,126,-0.32,"GIRPercentage100125yards",2014
172,172,"Charlie Wi",72,67.23,80,119,-0.25,"GIRPercentage100125yards",2014
173,173,"JB Holmes",86,67.12,98,146,-0.33,"GIRPercentage100125yards",2014
174,174,"Andrew Loupe",65,66.41,85,128,-0.24,"GIRPercentage100125yards",2014
175,175,"Jason Kokrak",65,65.98,64,97,-0.28,"GIRPercentage100125yards",2014
176,176,"DH Lee",54,65.06,54,83,-0.2,"GIRPercentage100125yards",2014
177,177,"Derek Ernst",80,63.48,73,115,-0.12,"GIRPercentage100125yards",2014
