"Approachesfrominside100yards_RANKTHISWEEK_2007","Approachesfrominside100yards_RANKLASTWEEK_2007","Approachesfrominside100yards_PLAYERNAME_2007","Approachesfrominside100yards_ROUNDS_2007","Approachesfrominside100yards_AVG_2007","Approachesfrominside100yards_TOTALDISTANCEFEET_2007","Approachesfrominside100yards_OFATTEMPTS_2007","Approachesfrominside100yards_RELATIVETOPAR_2007","stat_name","year"
144,144,"Vaughn Taylor",91,NA,1943.333,106,0.02,"Approachesfrominside100yards",2007
151,151,"Luke Donald",69,NA,1325.417,72,-0.03,"Approachesfrominside100yards",2007
151,151,"Anthony Kim",93,NA,2008.667,109,-0.02,"Approachesfrominside100yards",2007
153,153,"George McNeill",95,NA,1945.417,105,-0.11,"Approachesfrominside100yards",2007
154,154,"Marco Dawson",73,NA,1558,84,0,"Approachesfrominside100yards",2007
155,155,"Charley Hoffman",97,NA,2125.833,114,-0.09,"Approachesfrominside100yards",2007
155,155,"Ryan Moore",92,NA,1362.833,73,-0.1,"Approachesfrominside100yards",2007
155,155,"Jeff Overton",60,NA,1323.833,71,-0.17,"Approachesfrominside100yards",2007
158,158,"Billy Andrade",88,NA,1871.167,100,-0.06,"Approachesfrominside100yards",2007
158,158,"Mark Brooks",53,NA,1067.833,57,-0.07,"Approachesfrominside100yards",2007
160,160,"John Merrick",92,NA,1809.5,96,-0.02,"Approachesfrominside100yards",2007
160,160,"Pat Perez",84,NA,1507.5,80,0.1,"Approachesfrominside100yards",2007
160,160,"Carl Pettersson",111,NA,2033.25,108,0.03,"Approachesfrominside100yards",2007
160,160,"Kyle Reifers",71,NA,1315.417,70,-0.16,"Approachesfrominside100yards",2007
164,164,"Lucas Glover",98,NA,1894.167,100,-0.09,"Approachesfrominside100yards",2007
165,165,"Chad Campbell",96,NA,1707.5,90,0.08,"Approachesfrominside100yards",2007
165,165,"Tim Herron",98,NA,2208.167,116,0.04,"Approachesfrominside100yards",2007
165,165,"Trevor Immelman",74,NA,1310.917,69,0.04,"Approachesfrominside100yards",2007
165,165,"Chris Stroud",66,NA,1574.833,83,-0.13,"Approachesfrominside100yards",2007
169,169,"Steve Marino",106,NA,2214,116,-0.06,"Approachesfrominside100yards",2007
170,170,"Eric Axley",107,NA,2279.583,119,0.06,"Approachesfrominside100yards",2007
170,170,"Jason Dufner",100,NA,1764.25,92,-0.14,"Approachesfrominside100yards",2007
172,172,"Kent Jones",97,NA,2636.417,137,-0.03,"Approachesfrominside100yards",2007
172,172,"Parker McLachlin",83,NA,1576.333,82,-0.16,"Approachesfrominside100yards",2007
174,174,"Michael Boyd",61,NA,1779.333,92,-0.1,"Approachesfrominside100yards",2007
174,174,"JB Holmes",71,NA,1836.75,95,-0.11,"Approachesfrominside100yards",2007
174,174,"Charles Howell III",89,NA,1704.083,88,0.13,"Approachesfrominside100yards",2007
174,174,"Tag Ridings",52,NA,1238.75,64,-0.03,"Approachesfrominside100yards",2007
174,174,"Jim Rutledge",59,NA,1119.333,58,-0.05,"Approachesfrominside100yards",2007
179,179,"Nick Watney",87,NA,1322.75,68,0.03,"Approachesfrominside100yards",2007
180,180,"John Rollins",102,NA,2322.75,119,-0.04,"Approachesfrominside100yards",2007
181,181,"Mark Wilson",87,NA,2200.25,112,0.07,"Approachesfrominside100yards",2007
182,182,"Mathew Goggin",97,NA,1820.083,92,-0.14,"Approachesfrominside100yards",2007
183,183,"Duffy Waldorf",69,NA,1267.25,64,0,"Approachesfrominside100yards",2007
184,184,"Jason Bohn",57,NA,974.583,49,0.06,"Approachesfrominside100yards",2007
185,185,"David Branshaw",83,NA,1743.75,86,-0.07,"Approachesfrominside100yards",2007
185,185,"Anders Hansen",55,NA,648,32,0.03,"Approachesfrominside100yards",2007
185,185,"Jesper Parnevik",88,NA,1779.583,88,-0.03,"Approachesfrominside100yards",2007
188,188,"Dean Wilson",92,NA,1973.833,96,0,"Approachesfrominside100yards",2007
189,189,"Troy Matteson",87,NA,1598,77,-0.08,"Approachesfrominside100yards",2007
189,189,"Kenny Perry",83,NA,1886.417,91,-0.03,"Approachesfrominside100yards",2007
189,189,"Bob Tway",103,NA,2325.667,112,-0.07,"Approachesfrominside100yards",2007
192,192,"Steve Allan",63,NA,1019.333,49,-0.04,"Approachesfrominside100yards",2007
193,193,"Andrew Buckle",77,NA,1759.25,84,0.06,"Approachesfrominside100yards",2007
194,194,"KJ Choi",87,NA,1580.333,75,-0.05,"Approachesfrominside100yards",2007
195,195,"Davis Love III",66,NA,1224.917,57,-0.09,"Approachesfrominside100yards",2007
196,196,"Henrik Stenson",52,NA,1060.667,49,0,"Approachesfrominside100yards",2007
