"FedExCupPointsperEventLeaders_RANKTHISWEEK_2010","FedExCupPointsperEventLeaders_RANKLASTWEEK_2010","FedExCupPointsperEventLeaders_PLAYERNAME_2010","FedExCupPointsperEventLeaders_EVENTS_2010","FedExCupPointsperEventLeaders_POINTSPEREVENT_2010","FedExCupPointsperEventLeaders_TOTALPOINTS_2010","stat_name","year"
158,158,"Chris Tidland",19,14.25,270.75,"FedExCupPointsperEventLeaders",2010
159,159,"John Mallinger",24,14.249,341.972,"FedExCupPointsperEventLeaders",2010
160,160,"Brett Quigley",24,14.018,336.42,"FedExCupPointsperEventLeaders",2010
161,161,"Troy Merritt",24,13.795,331.09,"FedExCupPointsperEventLeaders",2010
162,162,"Gary Woodland",8,13.75,110,"FedExCupPointsperEventLeaders",2010
163,163,"James Nitties",25,13.52,338,"FedExCupPointsperEventLeaders",2010
164,164,"Lee Janzen",21,13.331,279.951,"FedExCupPointsperEventLeaders",2010
165,165,"Rod Pampling",21,13.095,275,"FedExCupPointsperEventLeaders",2010
166,166,"Kent Jones",9,12.986,116.871,"FedExCupPointsperEventLeaders",2010
167,167,"Steve Flesch",22,12.341,271.5,"FedExCupPointsperEventLeaders",2010
168,168,"Tim Herron",19,12.334,234.341,"FedExCupPointsperEventLeaders",2010
169,169,"Glen Day",12,11.958,143.5,"FedExCupPointsperEventLeaders",2010
170,170,"Mark Hensby",12,11.867,142.4,"FedExCupPointsperEventLeaders",2010
171,171,"Mathias Gronberg",17,11.618,197.5,"FedExCupPointsperEventLeaders",2010
172,172,"Mathew Goggin",23,11.598,266.75,"FedExCupPointsperEventLeaders",2010
173,173,"Jeff Klauk",13,11.385,148,"FedExCupPointsperEventLeaders",2010
174,174,"Nicholas Thompson",25,11.356,283.893,"FedExCupPointsperEventLeaders",2010
175,175,"Frank Lickliter II",6,11.235,67.41,"FedExCupPointsperEventLeaders",2010
176,176,"Craig Barlow",9,11.081,99.73,"FedExCupPointsperEventLeaders",2010
177,177,"Skip Kendall",15,10.626,159.39,"FedExCupPointsperEventLeaders",2010
178,178,"Roger Tambellini",21,10.437,219.17,"FedExCupPointsperEventLeaders",2010
179,179,"Cameron Percy",20,10.288,205.75,"FedExCupPointsperEventLeaders",2010
180,180,"Brian Stuard",23,9.845,226.435,"FedExCupPointsperEventLeaders",2010
181,181,"Ted Purdy",25,9.74,243.5,"FedExCupPointsperEventLeaders",2010
182,182,"Steve Wheatcroft",22,9.693,213.25,"FedExCupPointsperEventLeaders",2010
183,183,"Rich Barcelo",20,9.338,186.75,"FedExCupPointsperEventLeaders",2010
184,184,"Carlos Franco",10,9.15,91.5,"FedExCupPointsperEventLeaders",2010
185,185,"Graeme McDowell",10,9.05,90.5,"FedExCupPointsperEventLeaders",2010
186,186,"Henrik Bjornstad",21,8.952,188,"FedExCupPointsperEventLeaders",2010
187,187,"Garth Mulroy",18,8.899,160.176,"FedExCupPointsperEventLeaders",2010
188,188,"Rich Beem",9,8.866,79.79,"FedExCupPointsperEventLeaders",2010
189,189,"Tim Wilkinson",15,8.857,132.861,"FedExCupPointsperEventLeaders",2010
190,190,"Fred Funk",5,8.794,43.97,"FedExCupPointsperEventLeaders",2010
191,191,"Omar Uresti",22,8.744,192.361,"FedExCupPointsperEventLeaders",2010
192,192,"Johnson Wagner",23,8.562,196.932,"FedExCupPointsperEventLeaders",2010
193,193,"Greg Owen",22,8.386,184.486,"FedExCupPointsperEventLeaders",2010
194,194,"Chez Reavie",15,8.333,125,"FedExCupPointsperEventLeaders",2010
195,195,"Matt Weibring",10,8.275,82.75,"FedExCupPointsperEventLeaders",2010
196,196,"Marco Dawson",10,8.2,82,"FedExCupPointsperEventLeaders",2010
197,197,"Jason Gore",10,8.1,81,"FedExCupPointsperEventLeaders",2010
198,198,"Guy Boros",6,8.042,48.25,"FedExCupPointsperEventLeaders",2010
199,199,"Dicky Pride",5,7.85,39.25,"FedExCupPointsperEventLeaders",2010
200,200,"Charles Warren",16,7.229,115.667,"FedExCupPointsperEventLeaders",2010
201,201,"Rocco Mediate",21,7.159,150.34,"FedExCupPointsperEventLeaders",2010
202,202,"Cliff Kresge",13,7.024,91.311,"FedExCupPointsperEventLeaders",2010
203,203,"Harrison Frazar",17,6.824,116,"FedExCupPointsperEventLeaders",2010
204,204,"Roland Thatcher",21,6.753,141.813,"FedExCupPointsperEventLeaders",2010
205,205,"Martin Flores",21,6.528,137.09,"FedExCupPointsperEventLeaders",2010
206,206,"Cameron Tringale",17,6.294,107,"FedExCupPointsperEventLeaders",2010
207,207,"Daniel Chopra",23,6.161,141.695,"FedExCupPointsperEventLeaders",2010
208,208,"Mark Calcavecchia",15,5.895,88.42,"FedExCupPointsperEventLeaders",2010
209,209,"Robert Damron",4,5.875,23.5,"FedExCupPointsperEventLeaders",2010
210,210,"Robert Gamez",8,5.825,46.6,"FedExCupPointsperEventLeaders",2010
211,211,"John Daly",17,5.722,97.28,"FedExCupPointsperEventLeaders",2010
212,212,"Jonathan Kaye",6,5.625,33.75,"FedExCupPointsperEventLeaders",2010
213,213,"David Lutterus",20,5.15,103,"FedExCupPointsperEventLeaders",2010
214,214,"Willie Wood",1,5,5,"FedExCupPointsperEventLeaders",2010
215,215,"Shigeki Maruyama",4,4.875,19.5,"FedExCupPointsperEventLeaders",2010
216,216,"Brenden Pappas",19,4.664,88.611,"FedExCupPointsperEventLeaders",2010
217,217,"Jeff Gove",17,4.515,76.75,"FedExCupPointsperEventLeaders",2010
218,218,"Len Mattiace",5,4.3,21.5,"FedExCupPointsperEventLeaders",2010
219,219,"Craig Bowden",19,4.168,79.19,"FedExCupPointsperEventLeaders",2010
220,220,"Vance Veazey",18,4.069,73.24,"FedExCupPointsperEventLeaders",2010
221,221,"Todd Hamilton",16,3.969,63.5,"FedExCupPointsperEventLeaders",2010
222,222,"John Morse",5,3.722,18.611,"FedExCupPointsperEventLeaders",2010
223,223,"Fran Quinn",7,3.714,26,"FedExCupPointsperEventLeaders",2010
224,224,"Tom Byrum",3,3.667,11,"FedExCupPointsperEventLeaders",2010
225,225,"Jim Carter",5,3.5,17.5,"FedExCupPointsperEventLeaders",2010
226,226,"JL Lewis",4,3.438,13.75,"FedExCupPointsperEventLeaders",2010
227,227,"John Huston",12,3.302,39.62,"FedExCupPointsperEventLeaders",2010
228,228,"Michael Clark II",6,3.167,19,"FedExCupPointsperEventLeaders",2010
229,229,"Steve Lowery",22,3.058,67.271,"FedExCupPointsperEventLeaders",2010
230,230,"Phil Tataurangi",4,2.945,11.78,"FedExCupPointsperEventLeaders",2010
231,231,"Chris Wilson",21,2.75,57.75,"FedExCupPointsperEventLeaders",2010
232,232,"Jerod Turner",21,2.694,56.58,"FedExCupPointsperEventLeaders",2010
233,233,"Brent Delahoussaye",16,2.672,42.75,"FedExCupPointsperEventLeaders",2010
234,234,"Chris Smith",10,2.65,26.5,"FedExCupPointsperEventLeaders",2010
235,235,"Mark Brooks",12,2.438,29.25,"FedExCupPointsperEventLeaders",2010
236,236,"Kevin Johnson",22,2.393,52.65,"FedExCupPointsperEventLeaders",2010
237,237,"Parker McLachlin",15,2.159,32.39,"FedExCupPointsperEventLeaders",2010
238,238,"Brad Faxon",19,2.074,39.4,"FedExCupPointsperEventLeaders",2010
239,239,"Tommy Armour III",4,1.5,6,"FedExCupPointsperEventLeaders",2010
240,240,"Andrew McLardy",16,1.406,22.5,"FedExCupPointsperEventLeaders",2010
241,241,"Chris Baryla",7,1.273,8.91,"FedExCupPointsperEventLeaders",2010
242,242,"Eric Axley",5,1.1,5.5,"FedExCupPointsperEventLeaders",2010
243,243,"Paul Azinger",1,0.86,0.86,"FedExCupPointsperEventLeaders",2010
244,244,"Greg Kraft",17,0.816,13.87,"FedExCupPointsperEventLeaders",2010
245,245,"Robin Freeman",4,0.553,2.21,"FedExCupPointsperEventLeaders",2010
246,246,"Brad Adamonis",4,0.436,1.745,"FedExCupPointsperEventLeaders",2010
247,247,"Justin Bolli",18,0.342,6.16,"FedExCupPointsperEventLeaders",2010
248,248,"Spike McRoy",4,0.113,0.45,"FedExCupPointsperEventLeaders",2010
