"LowestRound_RANKTHISWEEK_2013","LowestRound_RANKLASTWEEK_2013","LowestRound_PLAYERNAME_2013","LowestRound_ROUNDS_2013","LowestRound_VALUE_2013","LowestRound_TOURNCOURSE_2013","LowestRound_ROUND_2013","stat_name","year"
370,370,"Tano Goya",4,71,NA,1,"LowestRound",2013
370,370,"Cody Gribble",2,71,NA,1,"LowestRound",2013
370,370,"Glen Griffith",2,71,NA,2,"LowestRound",2013
370,370,"Richard Hattori",2,71,NA,1,"LowestRound",2013
370,370,"David Howell",4,71,NA,2,"LowestRound",2013
370,370,"Brooks Koepka",6,71,NA,3,"LowestRound",2013
370,370,"Bernhard Langer",4,71,NA,2,"LowestRound",2013
370,370,"Edward Loar",6,71,NA,2,"LowestRound",2013
370,370,"Steve Lowery",2,71,NA,1,"LowestRound",2013
370,370,"Randy Lowry",2,71,NA,1,"LowestRound",2013
370,370,"Joost Luiten",2,71,NA,1,"LowestRound",2013
370,370,"Sandy Lyle",8,71,NA,4,"LowestRound",2013
370,370,"Parker McLachlin",4,71,NA,2,"LowestRound",2013
370,370,"Jimmy Mullen",4,71,NA,1,"LowestRound",2013
370,370,"Arron Oberholser",4,71,NA,1,"LowestRound",2013
370,370,"Dan Obremski",2,71,NA,1,"LowestRound",2013
370,370,"John Parry",4,71,NA,2,"LowestRound",2013
370,370,"Rod Perry",8,71,NA,2,"LowestRound",2013
370,370,"Josh Persons",2,71,NA,2,"LowestRound",2013
370,370,"Kevin Phelan",4,71,NA,1,"LowestRound",2013
370,370,"Fran Quinn",2,71,NA,1,"LowestRound",2013
370,370,"Jason Schultz",2,71,NA,2,"LowestRound",2013
370,370,"Chase Seiffert",2,71,NA,2,"LowestRound",2013
370,370,"David Skinns",2,71,NA,1,"LowestRound",2013
370,370,"Roger Sloan",4,71,NA,2,"LowestRound",2013
370,370,"Jesse Smith",4,71,NA,1,"LowestRound",2013
370,370,"Eugene Wong",2,71,NA,2,"LowestRound",2013
370,370,"Gareth Wright",4,71,NA,1,"LowestRound",2013
405,405,"Mark Brooks",5,72,NA,1,"LowestRound",2013
405,405,"Mark Brown",4,72,NA,4,"LowestRound",2013
