"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
108,108,"Arron Oberholser",65,51.49,47607.5,92459,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
110,110,"Tommy Armour III",103,51.47,88521,171984,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
111,111,"Richard Johnson",50,51.4,43836.1,85291,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
112,112,"Rocco Mediate",73,51.38,62973.5,122566,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
113,113,"Joe Ogilvie",103,51.31,75989.6,148101,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
114,114,"Shigeki Maruyama",99,51.3,77815.4,151677,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
115,115,"Glen Day",80,51.29,68949.7,134443,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
116,116,"Tim Petrovic",97,51.27,75112.2,146504,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
117,117,"Scott McCarron",78,51.26,61453.4,119880,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
118,118,"Joe Durant",81,51.22,66559.5,129952,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
118,118,"Kent Jones",99,51.22,85769.9,167460,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
120,120,"Steve Flesch",90,51.21,61261.1,119623,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
121,121,"Rich Beem",66,51.19,46260.7,90370,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
122,122,"Jeff Maggert",79,51.18,54314,106133,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
123,123,"Dudley Hart",84,51.17,70015.6,136822,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
124,124,"Alex Cejka",84,51.16,66875.4,130722,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
124,124,"Stewart Cink",98,51.16,66506.5,129995,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
124,124,"Tom Gillis",77,51.16,66929.6,130831,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
124,124,"Jay Williamson",53,51.16,45926.6,89771,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
128,128,"KJ Choi",78,51.13,48356.4,94576,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
129,129,"Lee Janzen",75,51.1,58427.5,114345,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
130,130,"Charlie Wi",67,51.04,60293.3,118140,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
131,131,"Bart Bryant",91,51.02,66870.3,131071,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
131,131,"Brent Geiberger",61,51.02,47085.2,92289,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
133,133,"Bernhard Langer",67,51,43610.1,85502,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
134,134,"Ian Poulter",62,50.99,33212.4,65137,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
135,135,"Cameron Beckman",96,50.98,79968.4,156875,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
136,136,"Bob Tway",87,50.95,63287.7,124211,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
137,137,"Justin Leonard",78,50.94,44905.2,88146,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
138,138,"Rob Rashell",65,50.92,49595.9,97395,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
139,139,"Thomas Levet",54,50.9,33927.7,66655,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
140,140,"Billy Andrade",83,50.89,71350,140210,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
141,141,"Luke Donald",67,50.88,31104.1,61138,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
141,141,"Bill Glasson",54,50.88,42746.3,84009,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
143,143,"Paul Azinger",66,50.87,56802.2,111654,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
143,143,"Steve Stricker",62,50.87,55283.3,108671,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
145,145,"Tom Lehman",69,50.84,44813.9,88145,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
146,146,"Tjaart van der Walt",56,50.83,53595.2,105450,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
147,147,"Matt Davidson",53,50.79,46791.3,92122,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
148,148,"Steve Jones",56,50.75,40576.2,79953,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
149,149,"Duffy Waldorf",86,50.73,69390.8,136779,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
150,150,"Robert Gamez",91,50.68,73403.7,144851,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
150,150,"Darron Stiles",78,50.68,66086.6,130406,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
152,152,"Bob Estes",92,50.63,71274.2,140787,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
152,152,"Phillip Price",77,50.63,62472.7,123395,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
154,154,"Jim Furyk",94,50.61,62289.2,123083,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
155,155,"Tim Clark",92,50.59,56377.9,111443,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
155,155,"Hidemichi Tanaka",106,50.59,92337.3,182528,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
157,157,"Matt Gogel",78,50.58,62333.4,123247,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
158,158,"JP Hayes",63,50.57,50394.8,99647,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
159,159,"Franklin Langham",91,50.56,70590.7,139613,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
159,159,"Mike Weir",71,50.56,43646.8,86322,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
161,161,"Brian Davis",75,50.55,64206.3,127009,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
162,162,"Steve Elkington",67,50.52,51389,101724,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
163,163,"Dean Wilson",86,50.51,75528.3,149532,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
164,164,"Jerry Kelly",101,50.49,71309.1,141238,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
165,165,"Glen Hnatiuk",59,50.46,47101.9,93336,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
166,166,"Heath Slocum",103,50.43,83496.5,165576,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
167,167,"Matt Kuchar",60,50.39,50670.3,100563,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
168,168,"Kevin Na",88,50.3,76044.3,151185,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
169,169,"Paul Gow",78,50.23,61105.4,121658,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
170,170,"Chris Anderson",66,50.18,56451.4,112508,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
171,171,"Robert Damron",89,50.16,75983.2,151471,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
172,172,"Ben Curtis",65,50.12,49783.6,99326,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
173,173,"Chris DiMarco",83,50.03,53172.2,106274,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
174,174,"Stephen Leaney",89,49.99,72264.6,144565,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
174,174,"Scott Verplank",87,49.99,57109.7,114252,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
176,176,"Danny Briggs",70,49.95,58361.7,116829,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
177,177,"Jeff Sluman",94,49.92,79380.7,159031,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
178,178,"Paul Claxton",79,49.9,61833,123911,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
178,178,"Larry Mize",54,49.9,38383.6,76924,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
180,180,"Omar Uresti",84,49.89,66859.3,134004,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
181,181,"Kirk Triplett",55,49.85,39929.3,80094,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
182,182,"Jay Haas",54,49.82,37747.2,75768,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
183,183,"Todd Fischer",99,49.78,81660.1,164050,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
184,184,"Doug Barron",70,49.76,62081.7,124756,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
