"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2008","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2008","BirdieorBetterPercentageLeftRough_PLAYERNAME_2008","BirdieorBetterPercentageLeftRough_ROUNDS_2008","BirdieorBetterPercentageLeftRough_Pct_2008","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2008","BirdieorBetterPercentageLeftRough_TOTALHOLES_2008","stat_name","year"
32,32,"Tim Clark",90,17.09,20,117,"BirdieorBetterPercentageLeftRough",2008
33,33,"Ian Poulter",51,16.98,9,53,"BirdieorBetterPercentageLeftRough",2008
34,34,"Robert Allenby",108,16.94,21,124,"BirdieorBetterPercentageLeftRough",2008
35,35,"Adam Scott",51,16.88,13,77,"BirdieorBetterPercentageLeftRough",2008
35,35,"David Toms",70,16.88,13,77,"BirdieorBetterPercentageLeftRough",2008
37,37,"Mark Hensby",71,16.67,22,132,"BirdieorBetterPercentageLeftRough",2008
37,37,"Jeff Overton",103,16.67,30,180,"BirdieorBetterPercentageLeftRough",2008
37,37,"John Rollins",94,16.67,18,108,"BirdieorBetterPercentageLeftRough",2008
40,40,"Woody Austin",109,16.53,20,121,"BirdieorBetterPercentageLeftRough",2008
40,40,"Justin Leonard",101,16.53,20,121,"BirdieorBetterPercentageLeftRough",2008
42,42,"Jesper Parnevik",88,16.41,21,128,"BirdieorBetterPercentageLeftRough",2008
43,43,"Chris DiMarco",87,16.2,23,142,"BirdieorBetterPercentageLeftRough",2008
44,44,"Fred Couples",60,16.09,14,87,"BirdieorBetterPercentageLeftRough",2008
45,45,"Jimmy Walker",73,16.06,22,137,"BirdieorBetterPercentageLeftRough",2008
46,46,"Omar Uresti",74,16.05,13,81,"BirdieorBetterPercentageLeftRough",2008
47,47,"Tommy Gainey",60,15.94,11,69,"BirdieorBetterPercentageLeftRough",2008
48,48,"Aaron Baddeley",76,15.91,14,88,"BirdieorBetterPercentageLeftRough",2008
49,49,"Mathias Gronberg",87,15.89,24,151,"BirdieorBetterPercentageLeftRough",2008
50,50,"Harrison Frazar",73,15.79,15,95,"BirdieorBetterPercentageLeftRough",2008
51,51,"Camilo Villegas",79,15.74,17,108,"BirdieorBetterPercentageLeftRough",2008
52,52,"Boo Weekley",86,15.69,16,102,"BirdieorBetterPercentageLeftRough",2008
53,53,"Ryan Palmer",69,15.6,17,109,"BirdieorBetterPercentageLeftRough",2008
54,54,"Kevin Streelman",114,15.48,24,155,"BirdieorBetterPercentageLeftRough",2008
55,55,"Paul Goydos",78,15.38,14,91,"BirdieorBetterPercentageLeftRough",2008
55,55,"Andres Romero",69,15.38,16,104,"BirdieorBetterPercentageLeftRough",2008
57,57,"Ben Crane",86,15.32,17,111,"BirdieorBetterPercentageLeftRough",2008
58,58,"Ben Curtis",80,15.29,13,85,"BirdieorBetterPercentageLeftRough",2008
59,59,"Kenny Perry",97,15.2,31,204,"BirdieorBetterPercentageLeftRough",2008
60,60,"John Huston",56,15.15,10,66,"BirdieorBetterPercentageLeftRough",2008
61,61,"Tag Ridings",88,15.11,21,139,"BirdieorBetterPercentageLeftRough",2008
62,62,"Robert Garrigus",90,14.81,24,162,"BirdieorBetterPercentageLeftRough",2008
63,63,"Dean Wilson",109,14.79,25,169,"BirdieorBetterPercentageLeftRough",2008
64,64,"Angel Cabrera",55,14.77,13,88,"BirdieorBetterPercentageLeftRough",2008
65,65,"James Driscoll",85,14.65,23,157,"BirdieorBetterPercentageLeftRough",2008
66,66,"JB Holmes",86,14.63,24,164,"BirdieorBetterPercentageLeftRough",2008
67,67,"Todd Demsey",80,14.6,20,137,"BirdieorBetterPercentageLeftRough",2008
67,67,"Nick Flanagan",89,14.6,20,137,"BirdieorBetterPercentageLeftRough",2008
69,69,"Richard Johnson",77,14.57,22,151,"BirdieorBetterPercentageLeftRough",2008
70,70,"Chris Riley",51,14.55,8,55,"BirdieorBetterPercentageLeftRough",2008
71,71,"Ernie Els",51,14.52,9,62,"BirdieorBetterPercentageLeftRough",2008
71,71,"Mark Wilson",107,14.52,18,124,"BirdieorBetterPercentageLeftRough",2008
73,73,"YE Yang",89,14.5,19,131,"BirdieorBetterPercentageLeftRough",2008
74,74,"Kevin Na",97,14.49,20,138,"BirdieorBetterPercentageLeftRough",2008
75,75,"Matt Jones",95,14.47,23,159,"BirdieorBetterPercentageLeftRough",2008
76,76,"Tommy Armour III",77,14.42,15,104,"BirdieorBetterPercentageLeftRough",2008
76,76,"Rich Beem",90,14.42,15,104,"BirdieorBetterPercentageLeftRough",2008
76,76,"Freddie Jacobson",78,14.42,15,104,"BirdieorBetterPercentageLeftRough",2008
79,79,"Davis Love III",78,14.4,18,125,"BirdieorBetterPercentageLeftRough",2008
79,79,"Brett Quigley",80,14.4,18,125,"BirdieorBetterPercentageLeftRough",2008
81,81,"Frank Lickliter II",107,14.29,21,147,"BirdieorBetterPercentageLeftRough",2008
82,82,"Brad Adamonis",87,14.18,20,141,"BirdieorBetterPercentageLeftRough",2008
83,83,"Dustin Johnson",92,14.13,26,184,"BirdieorBetterPercentageLeftRough",2008
84,84,"Paul Claxton",63,14.08,10,71,"BirdieorBetterPercentageLeftRough",2008
85,85,"Sergio Garcia",72,14.02,15,107,"BirdieorBetterPercentageLeftRough",2008
85,85,"Sean OHair",81,14.02,15,107,"BirdieorBetterPercentageLeftRough",2008
87,87,"Brian Davis",108,13.93,17,122,"BirdieorBetterPercentageLeftRough",2008
88,88,"Charley Hoffman",94,13.89,20,144,"BirdieorBetterPercentageLeftRough",2008
88,88,"Scott Sterling",89,13.89,15,108,"BirdieorBetterPercentageLeftRough",2008
90,90,"Paul Casey",55,13.79,8,58,"BirdieorBetterPercentageLeftRough",2008
91,91,"Hunter Mahan",87,13.76,15,109,"BirdieorBetterPercentageLeftRough",2008
92,92,"Steve Allan",58,13.7,10,73,"BirdieorBetterPercentageLeftRough",2008
93,93,"Marc Turnesa",87,13.68,16,117,"BirdieorBetterPercentageLeftRough",2008
94,94,"Tim Petrovic",97,13.64,18,132,"BirdieorBetterPercentageLeftRough",2008
