"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2005","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2005","AverageGoingforitShotDistanceinYards_PLAYERNAME_2005","AverageGoingforitShotDistanceinYards_EVENTS_2005","AverageGoingforitShotDistanceinYards_AVG_2005","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2005","AverageGoingforitShotDistanceinYards_ATTEMPTS_2005","stat_name","year"
23,23,"Joey Snyder III",31,250.5,1713311,190,"AverageGoingforitShotDistanceinYards",2005
26,26,"Gavin Coles",22,250.7,568559,63,"AverageGoingforitShotDistanceinYards",2005
26,26,"Jay Haas",16,250.7,523463,58,"AverageGoingforitShotDistanceinYards",2005
28,28,"Stephen Ames",24,250.8,921036,102,"AverageGoingforitShotDistanceinYards",2005
29,29,"Brett Wetterich",28,250.9,1725340,191,"AverageGoingforitShotDistanceinYards",2005
30,30,"Briny Baird",33,251,1427922,158,"AverageGoingforitShotDistanceinYards",2005
31,31,"Craig Perks",27,251.2,922529,102,"AverageGoingforitShotDistanceinYards",2005
32,32,"Brian Bateman",32,251.3,1483524,164,"AverageGoingforitShotDistanceinYards",2005
33,33,"Woody Austin",30,251.6,1702856,188,"AverageGoingforitShotDistanceinYards",2005
33,33,"Brian Gay",33,251.6,969009,107,"AverageGoingforitShotDistanceinYards",2005
33,33,"Chris Riley",25,251.6,543398,60,"AverageGoingforitShotDistanceinYards",2005
33,33,"Jay Williamson",16,251.6,706482,78,"AverageGoingforitShotDistanceinYards",2005
37,37,"Mike Weir",23,251.7,715854,79,"AverageGoingforitShotDistanceinYards",2005
38,38,"Robert Allenby",31,251.8,1522914,168,"AverageGoingforitShotDistanceinYards",2005
39,39,"Bart Bryant",26,252,1188620,131,"AverageGoingforitShotDistanceinYards",2005
39,39,"David Toms",25,252,979735,108,"AverageGoingforitShotDistanceinYards",2005
41,41,"Thomas Levet",20,252.1,553514,61,"AverageGoingforitShotDistanceinYards",2005
41,41,"Peter Lonard",27,252.1,998303,110,"AverageGoingforitShotDistanceinYards",2005
43,43,"Todd Hamilton",31,252.6,1118632,123,"AverageGoingforitShotDistanceinYards",2005
43,43,"JP Hayes",22,252.6,682152,75,"AverageGoingforitShotDistanceinYards",2005
43,43,"Bob Heintz",24,252.6,945887,104,"AverageGoingforitShotDistanceinYards",2005
43,43,"Shaun Micheel",29,252.6,1082274,119,"AverageGoingforitShotDistanceinYards",2005
47,47,"Olin Browne",29,252.7,864250,95,"AverageGoingforitShotDistanceinYards",2005
48,48,"Dudley Hart",29,252.8,1173972,129,"AverageGoingforitShotDistanceinYards",2005
48,48,"Brenden Pappas",15,252.8,1064929,117,"AverageGoingforitShotDistanceinYards",2005
48,48,"Rob Rashell",25,252.8,828189,91,"AverageGoingforitShotDistanceinYards",2005
51,51,"Brian Davis",23,253,1174801,129,"AverageGoingforitShotDistanceinYards",2005
51,51,"Bernhard Langer",19,253,683128,75,"AverageGoingforitShotDistanceinYards",2005
53,53,"Will Ma Kenzie",25,253.1,1257285,138,"AverageGoingforitShotDistanceinYards",2005
53,53,"Kevin Na",32,253.1,1211936,133,"AverageGoingforitShotDistanceinYards",2005
55,55,"Bradley Hughes",20,253.3,948512,104,"AverageGoingforitShotDistanceinYards",2005
55,55,"Chris Smith",32,253.3,1860389,204,"AverageGoingforitShotDistanceinYards",2005
57,57,"Steve Flesch",30,253.4,1122006,123,"AverageGoingforitShotDistanceinYards",2005
57,57,"Tim Herron",28,253.4,1277210,140,"AverageGoingforitShotDistanceinYards",2005
59,59,"Aaron Baddeley",27,253.5,1478577,162,"AverageGoingforitShotDistanceinYards",2005
59,59,"Bill Glasson",21,253.5,520154,57,"AverageGoingforitShotDistanceinYards",2005
59,59,"Arron Oberholser",21,253.5,821302,90,"AverageGoingforitShotDistanceinYards",2005
