"Approachesfrominside100yardsRgh_RANKTHISWEEK_2008","Approachesfrominside100yardsRgh_RANKLASTWEEK_2008","Approachesfrominside100yardsRgh_PLAYERNAME_2008","Approachesfrominside100yardsRgh_ROUNDS_2008","Approachesfrominside100yardsRgh_AVG_2008","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2008","Approachesfrominside100yardsRgh_OFATTEMPTS_2008","Approachesfrominside100yardsRgh_RELATIVETOPAR_2008","stat_name","year"
89,89,"Cody Freeman",66,NA,746,32,4,"Approachesfrominside100yardsRgh",2008
89,89,"Bill Haas",99,NA,1073.75,46,11,"Approachesfrominside100yardsRgh",2008
89,89,"Andres Romero",69,NA,770.333,33,12,"Approachesfrominside100yardsRgh",2008
94,94,"Anthony Kim",81,NA,823.333,35,-3,"Approachesfrominside100yardsRgh",2008
94,94,"Ryan Palmer",69,NA,541.083,23,6,"Approachesfrominside100yardsRgh",2008
96,96,"Ryuji Imada",80,NA,754,32,9,"Approachesfrominside100yardsRgh",2008
97,97,"Fred Couples",60,NA,782.083,33,8,"Approachesfrominside100yardsRgh",2008
97,97,"Matt Kuchar",88,NA,874.167,37,6,"Approachesfrominside100yardsRgh",2008
97,97,"Tim Petrovic",97,NA,923.917,39,0,"Approachesfrominside100yardsRgh",2008
97,97,"Bo Van Pelt",101,NA,946.917,40,5,"Approachesfrominside100yardsRgh",2008
101,101,"Michael Allen",91,NA,834.25,35,7,"Approachesfrominside100yardsRgh",2008
101,101,"Eric Axley",113,NA,1404.417,59,17,"Approachesfrominside100yardsRgh",2008
101,101,"Omar Uresti",74,NA,620.333,26,3,"Approachesfrominside100yardsRgh",2008
104,104,"Geoff Ogilvy",65,NA,908.25,38,4,"Approachesfrominside100yardsRgh",2008
105,105,"Tim Clark",90,NA,696.417,29,4,"Approachesfrominside100yardsRgh",2008
105,105,"Jason Gore",94,NA,720.833,30,5,"Approachesfrominside100yardsRgh",2008
105,105,"JJ Henry",108,NA,720.417,30,-3,"Approachesfrominside100yardsRgh",2008
108,108,"Nathan Green",95,NA,1160.667,48,5,"Approachesfrominside100yardsRgh",2008
108,108,"John Merrick",98,NA,822.5,34,9,"Approachesfrominside100yardsRgh",2008
108,108,"Jin Park",85,NA,797.833,33,4,"Approachesfrominside100yardsRgh",2008
108,108,"Patrick Sheehan",124,NA,870.917,36,15,"Approachesfrominside100yardsRgh",2008
112,112,"Joe Durant",92,NA,653.75,27,2,"Approachesfrominside100yardsRgh",2008
112,112,"Steve Elkington",84,NA,1067.083,44,3,"Approachesfrominside100yardsRgh",2008
112,112,"Marc Turnesa",87,NA,655.167,27,9,"Approachesfrominside100yardsRgh",2008
