"FirstTeeLateScoringAverage_RANKTHISWEEK_2010","FirstTeeLateScoringAverage_RANKLASTWEEK_2010","FirstTeeLateScoringAverage_PLAYERNAME_2010","FirstTeeLateScoringAverage_ROUNDS_2010","FirstTeeLateScoringAverage_AVG_2010","FirstTeeLateScoringAverage_TOTALSTROKES_2010","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2010","stat_name","year"
168,168,"Vijay Singh",75,71.79,2010,28,"FirstTeeLateScoringAverage",2010
170,170,"Garth Mulroy",53,71.82,1221,17,"FirstTeeLateScoringAverage",2010
171,171,"Henrik Bjornstad",72,71.9,1510,21,"FirstTeeLateScoringAverage",2010
171,171,"Mike Weir",59,71.9,1510,21,"FirstTeeLateScoringAverage",2010
173,173,"Kevin Johnson",62,71.92,935,13,"FirstTeeLateScoringAverage",2010
174,174,"Rich Barcelo",70,72,936,13,"FirstTeeLateScoringAverage",2010
174,174,"John Daly",63,72,1224,17,"FirstTeeLateScoringAverage",2010
176,176,"Alex Cejka",81,72.04,1729,24,"FirstTeeLateScoringAverage",2010
176,176,"Nicholas Thompson",88,72.04,1801,25,"FirstTeeLateScoringAverage",2010
178,178,"Daniel Chopra",74,72.05,1441,20,"FirstTeeLateScoringAverage",2010
178,178,"Derek Lamely",81,72.05,1441,20,"FirstTeeLateScoringAverage",2010
180,180,"Roland Thatcher",72,72.13,1082,15,"FirstTeeLateScoringAverage",2010
181,181,"Rory Sabbatini",79,72.23,1589,22,"FirstTeeLateScoringAverage",2010
182,182,"Ian Poulter",55,72.28,1301,18,"FirstTeeLateScoringAverage",2010
183,183,"Vance Veazey",58,72.53,1233,17,"FirstTeeLateScoringAverage",2010
184,184,"Justin Bolli",55,72.64,799,11,"FirstTeeLateScoringAverage",2010
185,185,"Paul Goydos",78,72.72,1818,25,"FirstTeeLateScoringAverage",2010
186,186,"YE Yang",72,72.76,1237,17,"FirstTeeLateScoringAverage",2010
187,187,"Steve Flesch",78,72.8,1092,15,"FirstTeeLateScoringAverage",2010
188,188,"Jason Dufner",87,72.83,1675,23,"FirstTeeLateScoringAverage",2010
189,189,"Brent Delahoussaye",57,72.92,948,13,"FirstTeeLateScoringAverage",2010
190,190,"Chris Wilson",65,73.23,952,13,"FirstTeeLateScoringAverage",2010
191,191,"Mark Calcavecchia",50,73.33,880,12,"FirstTeeLateScoringAverage",2010
192,192,"Jerod Turner",54,75,375,5,"FirstTeeLateScoringAverage",2010
