"ApexHeight_RANKTHISWEEK_2013","ApexHeight_RANKLASTWEEK_2013","ApexHeight_PLAYERNAME_2013","ApexHeight_ROUNDS_2013","ApexHeight_AVG_2013","ApexHeight_TOTALAPEXHEIGHT_2013","ApexHeight_TOTALATTEMPTS_2013","ApexHeight_HIGHESTAPEXPOINT_2013","ApexHeight_LOWESTAPEXPOINT_2013","stat_name","year"
171,171,"KJ Choi",85,NA,NA,57,NA,NA,"ApexHeight",2013
171,171,"Ted Potter Jr",65,NA,NA,54,NA,NA,"ApexHeight",2013
173,173,"Trevor Immelman",73,NA,NA,53,NA,NA,"ApexHeight",2013
174,174,"Rod Pampling",46,NA,NA,35,NA,NA,"ApexHeight",2013
175,175,"John Merrick",79,NA,NA,64,NA,NA,"ApexHeight",2013
176,176,"Camilo Villegas",79,NA,NA,61,NA,NA,"ApexHeight",2013
177,177,"Ricky Barnes",74,NA,NA,58,NA,NA,"ApexHeight",2013
178,178,"Ken Duke",87,NA,NA,68,NA,NA,"ApexHeight",2013
179,179,"Freddie Jacobson",63,NA,NA,45,NA,NA,"ApexHeight",2013
180,180,"Scott Langley",79,NA,NA,57,NA,NA,"ApexHeight",2013
