"AccuracyRating_RANKTHISWEEK_2014","AccuracyRating_RANKLASTWEEK_2014","AccuracyRating_PLAYERNAME_2014","AccuracyRating_EVENTS_2014","AccuracyRating_RATING_2014","stat_name","year"
75,75,"Nicholas Thompson",10,7.1,"AccuracyRating",2014
75,75,"Bubba Watson",14,7.1,"AccuracyRating",2014
75,75,"Mark Wilson",7,7.1,"AccuracyRating",2014
95,95,"Scott Brown",15,7,"AccuracyRating",2014
95,95,"Angel Cabrera",11,7,"AccuracyRating",2014
95,95,"KJ Choi",14,7,"AccuracyRating",2014
95,95,"Stewart Cink",16,7,"AccuracyRating",2014
95,95,"Ben Crane",16,7,"AccuracyRating",2014
95,95,"Luke Donald",10,7,"AccuracyRating",2014
95,95,"Paul Goydos",4,7,"AccuracyRating",2014
95,95,"Brooks Koepka",9,7,"AccuracyRating",2014
95,95,"Danny Lee",11,7,"AccuracyRating",2014
95,95,"Phil Mickelson",10,7,"AccuracyRating",2014
95,95,"Bryce Molder",12,7,"AccuracyRating",2014
95,95,"Thorbjorn Olesen",2,7,"AccuracyRating",2014
95,95,"Louis Oosthuizen",5,7,"AccuracyRating",2014
95,95,"Pat Perez",16,7,"AccuracyRating",2014
95,95,"Hudson Swafford",9,7,"AccuracyRating",2014
95,95,"Hideto Tanihara",1,7,"AccuracyRating",2014
95,95,"Michael Thompson",12,7,"AccuracyRating",2014
95,95,"Cameron Tringale",23,7,"AccuracyRating",2014
95,95,"Camilo Villegas",16,7,"AccuracyRating",2014
95,95,"Marc Warren",1,7,"AccuracyRating",2014
115,115,"Bill Haas",21,6.9,"AccuracyRating",2014
115,115,"Thongchai Jaidee",2,6.9,"AccuracyRating",2014
115,115,"Jerry Kelly",15,6.9,"AccuracyRating",2014
115,115,"Seung Yul Noh",16,6.9,"AccuracyRating",2014
115,115,"Carlos Ortiz",1,6.9,"AccuracyRating",2014
115,115,"Ryan Palmer",16,6.9,"AccuracyRating",2014
