"FairwayBunkerTendency_RANKTHISWEEK_2015","FairwayBunkerTendency_RANKLASTWEEK_2015","FairwayBunkerTendency_PLAYERNAME_2015","FairwayBunkerTendency_ROUNDS_2015","FairwayBunkerTendency_Pct_2015","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2015","FairwayBunkerTendency_POSSIBLEFWYS_2015","FairwayBunkerTendency_RELATIVETOPAR_2015","stat_name","year"
172,172,"Aaron Baddeley",76,8.4,76,904,0.171,"FairwayBunkerTendency",2015
173,173,"Ian Poulter",68,8.5,56,662,0.268,"FairwayBunkerTendency",2015
174,174,"Angel Cabrera",53,8.9,52,586,0.192,"FairwayBunkerTendency",2015
174,174,"Ryan Palmer",80,8.9,66,745,0.152,"FairwayBunkerTendency",2015
176,176,"Patrick Reed",103,9,95,1051,0.074,"FairwayBunkerTendency",2015
177,177,"Ernie Els",57,9.1,49,537,0.204,"FairwayBunkerTendency",2015
177,177,"Charles Howell III",105,9.1,124,1363,0.185,"FairwayBunkerTendency",2015
177,177,"Andres Romero",69,9.1,68,745,0.235,"FairwayBunkerTendency",2015
180,180,"Adam Scott",51,9.3,41,442,0,"FairwayBunkerTendency",2015
181,181,"Phil Mickelson",70,9.8,74,758,0.135,"FairwayBunkerTendency",2015
182,182,"Jamie Donaldson",50,9.9,44,443,0.114,"FairwayBunkerTendency",2015
183,183,"Justin Rose",69,10.3,70,678,0.371,"FairwayBunkerTendency",2015
184,184,"Lee Westwood",56,10.9,48,440,0.313,"FairwayBunkerTendency",2015
