"LeftRoughTendencyRTPScore_RANKTHISWEEK_2009","LeftRoughTendencyRTPScore_RANKLASTWEEK_2009","LeftRoughTendencyRTPScore_PLAYERNAME_2009","LeftRoughTendencyRTPScore_ROUNDS_2009","LeftRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
105,105,"Matt Weibring",65,0.117,"LeftRoughTendencyRTPScore",2009
107,107,"David Mathis",82,0.119,"LeftRoughTendencyRTPScore",2009
107,107,"Ted Purdy",101,0.119,"LeftRoughTendencyRTPScore",2009
109,109,"Woody Austin",84,0.12,"LeftRoughTendencyRTPScore",2009
109,109,"Carl Pettersson",86,0.12,"LeftRoughTendencyRTPScore",2009
111,111,"Brian Bateman",55,0.121,"LeftRoughTendencyRTPScore",2009
111,111,"Stewart Cink",79,0.121,"LeftRoughTendencyRTPScore",2009
111,111,"Richard Johnson",85,0.121,"LeftRoughTendencyRTPScore",2009
114,114,"Steve Lowery",83,0.122,"LeftRoughTendencyRTPScore",2009
115,115,"Kevin Na",91,0.123,"LeftRoughTendencyRTPScore",2009
116,116,"Rod Pampling",72,0.124,"LeftRoughTendencyRTPScore",2009
116,116,"Peter Tomasulo",61,0.124,"LeftRoughTendencyRTPScore",2009
118,118,"Briny Baird",89,0.125,"LeftRoughTendencyRTPScore",2009
118,118,"Corey Pavin",73,0.125,"LeftRoughTendencyRTPScore",2009
120,120,"Mark Calcavecchia",72,0.126,"LeftRoughTendencyRTPScore",2009
121,121,"Mark Brooks",55,0.127,"LeftRoughTendencyRTPScore",2009
122,122,"Glen Day",79,0.128,"LeftRoughTendencyRTPScore",2009
122,122,"Hunter Mahan",94,0.128,"LeftRoughTendencyRTPScore",2009
124,124,"Daniel Chopra",89,0.132,"LeftRoughTendencyRTPScore",2009
124,124,"JJ Henry",97,0.132,"LeftRoughTendencyRTPScore",2009
126,126,"Stuart Appleby",79,0.135,"LeftRoughTendencyRTPScore",2009
126,126,"Retief Goosen",74,0.135,"LeftRoughTendencyRTPScore",2009
128,128,"KJ Choi",65,0.137,"LeftRoughTendencyRTPScore",2009
129,129,"Joe Durant",62,0.138,"LeftRoughTendencyRTPScore",2009
129,129,"DJ Trahan",96,0.138,"LeftRoughTendencyRTPScore",2009
131,131,"Brendon de Jonge",90,0.142,"LeftRoughTendencyRTPScore",2009
132,132,"Ryuji Imada",85,0.145,"LeftRoughTendencyRTPScore",2009
132,132,"Boo Weekley",79,0.145,"LeftRoughTendencyRTPScore",2009
134,134,"Tim Herron",87,0.147,"LeftRoughTendencyRTPScore",2009
135,135,"Brian Gay",96,0.148,"LeftRoughTendencyRTPScore",2009
136,136,"Kent Jones",73,0.149,"LeftRoughTendencyRTPScore",2009
136,136,"Martin Laird",72,0.149,"LeftRoughTendencyRTPScore",2009
138,138,"Mike Weir",85,0.15,"LeftRoughTendencyRTPScore",2009
139,139,"Johnson Wagner",81,0.151,"LeftRoughTendencyRTPScore",2009
140,140,"Bill Lunde",83,0.152,"LeftRoughTendencyRTPScore",2009
140,140,"Scott Verplank",88,0.152,"LeftRoughTendencyRTPScore",2009
140,140,"Casey Wittenberg",71,0.152,"LeftRoughTendencyRTPScore",2009
143,143,"Brad Adamonis",70,0.153,"LeftRoughTendencyRTPScore",2009
