"FedExCupStandings_RANKTHISWEEK_2015","FedExCupStandings_RANKLASTWEEK_2015","FedExCupStandings_PLAYERNAME_2015","FedExCupStandings_EVENTS_2015","FedExCupStandings_POINTS_2015","FedExCupStandings_OFWINS_2015","FedExCupStandings_OFTOP10S_2015","FedExCupStandings_POINTSBEHINDLEAD_2015","FedExCupStandings_RESETPOINTS_2015","stat_name","year"
116,116,"Chris Stroud",28,531,NA,2,6439,NA,"FedExCupStandings",2015
117,117,"Ken Duke",30,523,NA,3,6447,NA,"FedExCupStandings",2015
118,118,"Retief Goosen",25,519,NA,3,6451,NA,"FedExCupStandings",2015
119,119,"Vijay Singh",23,508,NA,1,6462,NA,"FedExCupStandings",2015
120,120,"Chad Collins",24,504,NA,1,6466,NA,"FedExCupStandings",2015
121,121,"Tim Clark",13,481,NA,1,6489,NA,"FedExCupStandings",2015
122,122,"Ryo Ishikawa",28,476,NA,2,6494,NA,"FedExCupStandings",2015
123,123,"Jonas Blixt",26,471,NA,1,6499,NA,"FedExCupStandings",2015
124,124,"Erik Compton",28,471,NA,1,6499,NA,"FedExCupStandings",2015
125,125,"Jeff Overton",30,464,NA,1,6506,NA,"FedExCupStandings",2015
126,126,"Will Ma Kenzie",16,458,NA,3,6512,NA,"FedExCupStandings",2015
127,127,"Scott Langley",28,448,NA,NA,6522,NA,"FedExCupStandings",2015
128,128,"Brian Stuard",31,447,NA,1,6523,NA,"FedExCupStandings",2015
129,129,"Scott Stallings",19,447,NA,1,6523,NA,"FedExCupStandings",2015
130,130,"Jamie Donaldson",16,447,NA,2,6523,NA,"FedExCupStandings",2015
131,131,"Nicholas Thompson",31,442,NA,1,6528,NA,"FedExCupStandings",2015
132,132,"Tom Hoge",26,441,NA,2,6529,NA,"FedExCupStandings",2015
133,133,"Alex Prugh",27,433,NA,2,6537,NA,"FedExCupStandings",2015
134,134,"Seung Yul Noh",21,432,NA,1,6538,NA,"FedExCupStandings",2015
135,135,"SJ Park",27,426,NA,1,6544,NA,"FedExCupStandings",2015
136,136,"Billy Hurley III",28,420,NA,1,6550,NA,"FedExCupStandings",2015
137,137,"Sam Saunders",28,413,NA,1,6557,NA,"FedExCupStandings",2015
138,138,"Michael Putnam",28,407,NA,NA,6563,NA,"FedExCupStandings",2015
139,139,"Martin Kaymer",13,406,NA,1,6564,NA,"FedExCupStandings",2015
