"VictoryLeaders_RANKTHISWEEK_2012","VictoryLeaders_RANKLASTWEEK_2012","VictoryLeaders_PLAYERNAME_2012","VictoryLeaders_EVENTS_2012","VictoryLeaders_VICTORIES_2012","stat_name","year"
38,38,"Vince Hatfield",0,NA,"VictoryLeaders",2012
38,38,"Gregory Havret",1,NA,"VictoryLeaders",2012
38,38,"JP Hayes",1,NA,"VictoryLeaders",2012
38,38,"James Hazen",1,NA,"VictoryLeaders",2012
38,38,"David Hearn",28,NA,"VictoryLeaders",2012
38,38,"Mike Heinen",1,NA,"VictoryLeaders",2012
38,38,"Scott Hend",0,NA,"VictoryLeaders",2012
38,38,"Mark Hensby",2,NA,"VictoryLeaders",2012
38,38,"Jim Herman",2,NA,"VictoryLeaders",2012
38,38,"Tim Herron",27,NA,"VictoryLeaders",2012
38,38,"Luke Hickmott",0,NA,"VictoryLeaders",2012
38,38,"Justin Hicks",2,NA,"VictoryLeaders",2012
38,38,"Matt Hill",2,NA,"VictoryLeaders",2012
38,38,"Tetsuji Hiratsuka",1,NA,"VictoryLeaders",2012
38,38,"Bo Hoag",2,NA,"VictoryLeaders",2012
38,38,"Jonathan Hodge",0,NA,"VictoryLeaders",2012
38,38,"Michael Hoey",3,NA,"VictoryLeaders",2012
38,38,"Charley Hoffman",27,NA,"VictoryLeaders",2012
38,38,"Morgan Hoffmann",1,NA,"VictoryLeaders",2012
38,38,"JB Holmes",25,NA,"VictoryLeaders",2012
38,38,"Billy Horschel",17,NA,"VictoryLeaders",2012
38,38,"Beau Hossler",2,NA,"VictoryLeaders",2012
38,38,"Cole Howard",1,NA,"VictoryLeaders",2012
38,38,"David Howell",0,NA,"VictoryLeaders",2012
38,38,"Charles Howell III",29,NA,"VictoryLeaders",2012
38,38,"Mu Hu",0,NA,"VictoryLeaders",2012
38,38,"Mackenzie Hughes",1,NA,"VictoryLeaders",2012
38,38,"Phillip Hui",1,NA,"VictoryLeaders",2012
38,38,"Billy Hurley III",27,NA,"VictoryLeaders",2012
38,38,"John Hurley",1,NA,"VictoryLeaders",2012
38,38,"Shaaban Hussin",0,NA,"VictoryLeaders",2012
38,38,"Randall Hutchison",1,NA,"VictoryLeaders",2012
38,38,"David Hutsell",6,NA,"VictoryLeaders",2012
38,38,"Junggon Hwang",1,NA,"VictoryLeaders",2012
38,38,"Jay Hwang",1,NA,"VictoryLeaders",2012
38,38,"Kodai Ichihara",1,NA,"VictoryLeaders",2012
38,38,"Yuta Ikeda",1,NA,"VictoryLeaders",2012
38,38,"Mikko Ilonen",1,NA,"VictoryLeaders",2012
38,38,"Ryuji Imada",28,NA,"VictoryLeaders",2012
38,38,"Trevor Immelman",24,NA,"VictoryLeaders",2012
38,38,"Paul Imondi",1,NA,"VictoryLeaders",2012
38,38,"John Inman",2,NA,"VictoryLeaders",2012
38,38,"Ryo Ishikawa",18,NA,"VictoryLeaders",2012
38,38,"Justin Itzen",1,NA,"VictoryLeaders",2012
38,38,"Peter Jacobsen",0,NA,"VictoryLeaders",2012
38,38,"Freddie Jacobson",17,NA,"VictoryLeaders",2012
38,38,"Raphael Jacquelin",2,NA,"VictoryLeaders",2012
38,38,"Stephan Jaeger",0,NA,"VictoryLeaders",2012
38,38,"Thongchai Jaidee",3,NA,"VictoryLeaders",2012
38,38,"I J Jang",0,NA,"VictoryLeaders",2012
38,38,"Lee Janzen",12,NA,"VictoryLeaders",2012
38,38,"Marty Jertson",1,NA,"VictoryLeaders",2012
38,38,"Miguel Angel Jimenez",6,NA,"VictoryLeaders",2012
38,38,"Brandt Jobe",18,NA,"VictoryLeaders",2012
38,38,"Audie Johnson",1,NA,"VictoryLeaders",2012
38,38,"Richard Johnson",7,NA,"VictoryLeaders",2012
38,38,"Steve Jones",2,NA,"VictoryLeaders",2012
38,38,"Kent Jones",7,NA,"VictoryLeaders",2012
38,38,"Brendan Jones",3,NA,"VictoryLeaders",2012
38,38,"Matt Jones",19,NA,"VictoryLeaders",2012
38,38,"Erick Justesen",1,NA,"VictoryLeaders",2012
38,38,"Sung Kang",30,NA,"VictoryLeaders",2012
38,38,"Robert Karlsson",17,NA,"VictoryLeaders",2012
38,38,"Chris Kaufman",1,NA,"VictoryLeaders",2012
38,38,"Martin Kaymer",8,NA,"VictoryLeaders",2012
38,38,"Ian Keenan",1,NA,"VictoryLeaders",2012
38,38,"Jerry Kelly",26,NA,"VictoryLeaders",2012
38,38,"Troy Kelly",23,NA,"VictoryLeaders",2012
38,38,"Skip Kendall",5,NA,"VictoryLeaders",2012
38,38,"Brad Kennedy",1,NA,"VictoryLeaders",2012
38,38,"Darrell Kestner",1,NA,"VictoryLeaders",2012
38,38,"Simon Khan",1,NA,"VictoryLeaders",2012
38,38,"JJ Killeen",33,NA,"VictoryLeaders",2012
38,38,"Daehyun Kim",0,NA,"VictoryLeaders",2012
38,38,"KT Kim",11,NA,"VictoryLeaders",2012
38,38,"Anthony Kim",10,NA,"VictoryLeaders",2012
38,38,"Kevin Kim",0,NA,"VictoryLeaders",2012
38,38,"Sunny Kim",0,NA,"VictoryLeaders",2012
38,38,"Bio Kim",1,NA,"VictoryLeaders",2012
38,38,"Hyung Sung Kim",0,NA,"VictoryLeaders",2012
38,38,"Whee Kim",0,NA,"VictoryLeaders",2012
38,38,"Si Woo Kim",0,NA,"VictoryLeaders",2012
38,38,"Chris Kirk",27,NA,"VictoryLeaders",2012
38,38,"Kevin Kisner",24,NA,"VictoryLeaders",2012
38,38,"Soren Kjeldsen",1,NA,"VictoryLeaders",2012
38,38,"Jeff Klauk",0,NA,"VictoryLeaders",2012
38,38,"Colt Knost",29,NA,"VictoryLeaders",2012
38,38,"Russell Knox",23,NA,"VictoryLeaders",2012
38,38,"Masanori Kobayashi",0,NA,"VictoryLeaders",2012
38,38,"Brooks Koepka",1,NA,"VictoryLeaders",2012
38,38,"Ben Kohles",1,NA,"VictoryLeaders",2012
38,38,"Jason Kokrak",27,NA,"VictoryLeaders",2012
38,38,"Kelly Kraft",10,NA,"VictoryLeaders",2012
38,38,"Cliff Kresge",0,NA,"VictoryLeaders",2012
38,38,"Jbe Kruger",2,NA,"VictoryLeaders",2012
38,38,"Kenichi Kuboya",0,NA,"VictoryLeaders",2012
38,38,"Hank Kuehne",12,NA,"VictoryLeaders",2012
38,38,"Tim Kunick",0,NA,"VictoryLeaders",2012
38,38,"Doug LaBelle II",1,NA,"VictoryLeaders",2012
38,38,"Anirban Lahiri",1,NA,"VictoryLeaders",2012
38,38,"Martin Laird",22,NA,"VictoryLeaders",2012
38,38,"Derek Lamely",25,NA,"VictoryLeaders",2012
38,38,"Steve Lamontagne",1,NA,"VictoryLeaders",2012
38,38,"Neal Lancaster",8,NA,"VictoryLeaders",2012
38,38,"Barry Lane",1,NA,"VictoryLeaders",2012
38,38,"Bernhard Langer",1,NA,"VictoryLeaders",2012
38,38,"Scott Langley",4,NA,"VictoryLeaders",2012
38,38,"Jose Manuel Lara",1,NA,"VictoryLeaders",2012
38,38,"Pablo Larrazabal",3,NA,"VictoryLeaders",2012
38,38,"Paul Lawrie",6,NA,"VictoryLeaders",2012
38,38,"Peter Lawrie",1,NA,"VictoryLeaders",2012
38,38,"Steve LeBrun",1,NA,"VictoryLeaders",2012
38,38,"Nelson Ledesma",1,NA,"VictoryLeaders",2012
38,38,"Han Lee",0,NA,"VictoryLeaders",2012
38,38,"DH Lee",1,NA,"VictoryLeaders",2012
38,38,"Danny Lee",26,NA,"VictoryLeaders",2012
38,38,"Kyoung Hoon Lee",0,NA,"VictoryLeaders",2012
38,38,"Richard Lee",24,NA,"VictoryLeaders",2012
38,38,"Tom Lehman",2,NA,"VictoryLeaders",2012
38,38,"Niklas Lemke",0,NA,"VictoryLeaders",2012
38,38,"Justin Leonard",26,NA,"VictoryLeaders",2012
38,38,"Michael Letzig",0,NA,"VictoryLeaders",2012
38,38,"Spencer Levin",26,NA,"VictoryLeaders",2012
38,38,"Rick Lewallen",1,NA,"VictoryLeaders",2012
38,38,"Randal Lewis",1,NA,"VictoryLeaders",2012
38,38,"Tom Lewis",2,NA,"VictoryLeaders",2012
38,38,"Stacy Lewis",0,NA,"VictoryLeaders",2012
38,38,"WC Liang",1,NA,"VictoryLeaders",2012
38,38,"Frank Lickliter II",9,NA,"VictoryLeaders",2012
38,38,"Brittany Lincicome",0,NA,"VictoryLeaders",2012
38,38,"David Lipsky",0,NA,"VictoryLeaders",2012
38,38,"Edward Loar",23,NA,"VictoryLeaders",2012
38,38,"Peter Lonard",4,NA,"VictoryLeaders",2012
38,38,"Andrew Loupe",0,NA,"VictoryLeaders",2012
38,38,"Davis Love III",20,NA,"VictoryLeaders",2012
38,38,"Jamie Lovemark",16,NA,"VictoryLeaders",2012
38,38,"Mitch Lowe",3,NA,"VictoryLeaders",2012
38,38,"Steve Lowery",1,NA,"VictoryLeaders",2012
38,38,"Shane Lowry",0,NA,"VictoryLeaders",2012
38,38,"Joost Luiten",3,NA,"VictoryLeaders",2012
38,38,"Bill Lunde",25,NA,"VictoryLeaders",2012
38,38,"Sandy Lyle",2,NA,"VictoryLeaders",2012
38,38,"Jarrod Lyle",7,NA,"VictoryLeaders",2012
38,38,"David Lynn",1,NA,"VictoryLeaders",2012
38,38,"Will Ma Kenzie",6,NA,"VictoryLeaders",2012
38,38,"Bryden Macpherson",4,NA,"VictoryLeaders",2012
38,38,"Morten Orum Madsen",1,NA,"VictoryLeaders",2012
38,38,"Andrew Magee",1,NA,"VictoryLeaders",2012
38,38,"Jeff Maggert",27,NA,"VictoryLeaders",2012
38,38,"Gregory Main",1,NA,"VictoryLeaders",2012
38,38,"John Mallinger",25,NA,"VictoryLeaders",2012
38,38,"Mardan Mamat",1,NA,"VictoryLeaders",2012
38,38,"Matteo Manassero",3,NA,"VictoryLeaders",2012
38,38,"Michael Maness",1,NA,"VictoryLeaders",2012
38,38,"Steve Marino",6,NA,"VictoryLeaders",2012
38,38,"David Markle",1,NA,"VictoryLeaders",2012
38,38,"Prayad Marksaeng",1,NA,"VictoryLeaders",2012
38,38,"Matt Marshall",1,NA,"VictoryLeaders",2012
38,38,"Ian Marshall",1,NA,"VictoryLeaders",2012
38,38,"Casey Martin",2,NA,"VictoryLeaders",2012
38,38,"Ben Martin",0,NA,"VictoryLeaders",2012
