"DrivingPctAll_RANKTHISWEEK_2010","DrivingPctAll_RANKLASTWEEK_2010","DrivingPctAll_PLAYERNAME_2010","DrivingPctAll_ROUNDS_2010","DrivingPctAll_Pct_2010","DrivingPctAll_TOTALDRIVESFOR_2010","DrivingPctAll_TOTALDRIVESOVERALL_2010","DrivingPctAll_RELATIVETOPAR_2010","stat_name","year"
107,107,"Martin Laird",91,4.98,55,1105,0.273,"DrivingPctAll",2010
108,108,"Rocco Mediate",71,4.96,42,847,0.214,"DrivingPctAll",2010
109,109,"Matt Jones",89,4.95,55,1112,0.127,"DrivingPctAll",2010
110,110,"Rich Barcelo",70,4.94,40,809,0.425,"DrivingPctAll",2010
111,111,"Ryan Moore",80,4.92,42,853,0.143,"DrivingPctAll",2010
112,112,"Chris Riley",73,4.9,43,878,0.093,"DrivingPctAll",2010
113,113,"Jeff Gove",57,4.89,30,613,0.2,"DrivingPctAll",2010
114,114,"Zach Johnson",93,4.85,51,1051,0.059,"DrivingPctAll",2010
115,115,"Chris Tidland",77,4.84,46,951,0.304,"DrivingPctAll",2010
116,116,"Derek Lamely",81,4.83,43,890,0.186,"DrivingPctAll",2010
116,116,"Jarrod Lyle",54,4.83,31,642,0.161,"DrivingPctAll",2010
