"DistancetoApex_RANKTHISWEEK_2014","DistancetoApex_RANKLASTWEEK_2014","DistancetoApex_PLAYERNAME_2014","DistancetoApex_ROUNDS_2014","DistancetoApex_AVG_2014","DistancetoApex_TOTALAPEXRANGE_2014","DistancetoApex_TOTALATTEMPTS_2014","DistancetoApex_LONGESTDISTTOAPEX_2014","DistancetoApex_SHORTESTDISTTOAPEX_2014","stat_name","year"
52,52,"Ben Martin",80,189,11720.8,62,207.9,169.2,"DistancetoApex",2014
52,52,"George McNeill",79,189,13042.1,69,205.7,160.7,"DistancetoApex",2014
55,55,"Trevor Immelman",84,188.8,12081.5,64,210.9,163.9,"DistancetoApex",2014
56,56,"Russell Henley",92,188.7,14527.9,77,202.2,160.4,"DistancetoApex",2014
57,57,"Lee Westwood",57,188.5,7727.3,41,200.8,171.3,"DistancetoApex",2014
58,58,"Justin Rose",70,188.3,9793.2,52,203.4,174,"DistancetoApex",2014
59,59,"Louis Oosthuizen",50,188.2,5081.6,27,199.9,169.4,"DistancetoApex",2014
60,60,"John Rollins",84,188.1,11662,62,201.6,165.5,"DistancetoApex",2014
61,61,"Hideki Matsuyama",82,187.3,12359.9,66,205.3,166.8,"DistancetoApex",2014
62,62,"Steven Bowditch",93,187.2,14599.7,78,202.7,145.3,"DistancetoApex",2014
